test_month,horizon_min,n_sequences,accuracy,ci95_low,ci95_high,error_low,error_high
4,1,601,0.9207197283010949,0.9153852672391342,0.9259312558929824,0.005334461061960782,0.005211527591887477
4,5,601,0.9048107057249836,0.8989734972876519,0.9103052275643354,0.005837208437331709,0.00549452183935184
4,10,601,0.8938799297083356,0.8877512665175774,0.899845709611032,0.006128663190758221,0.005965779902696422
4,15,601,0.8850320592169529,0.8777903244334748,0.8923486898423821,0.007241734783478115,0.007316630625429199
10,1,744,0.9215954988362624,0.9128233351109789,0.9301072685030157,0.008772163725283444,0.008511769666753377
10,5,744,0.9061093127953268,0.8955981182795699,0.9161887048198997,0.010511194515756883,0.010079392024572864
10,10,744,0.8941742836708793,0.8821797111739488,0.9059965563286246,0.011994572496930478,0.01182227265774538
10,15,744,0.8882594783644008,0.8757361338484372,0.9009014187057914,0.012523344515963597,0.012641940341390656
12,1,743,0.9272833773944487,0.9186800052089147,0.9347181527576243,0.008603372185533975,0.007434775363175605
12,5,743,0.9128836978012909,0.9039059427492937,0.9207941726629191,0.00897775505199716,0.007910474861628214
12,10,743,0.8992891749368578,0.8892933947653429,0.9081351100596468,0.009995780171514923,0.008845935122788973
12,15,743,0.8883610869201876,0.8789608691760028,0.8970645982934604,0.009400217744184758,0.008703511373272854
