test_month,horizon_min,n_sequences,macro_f1,ci95_low,ci95_high
4,1,601,0.8237094621156473,0.8022698276362077,0.8402002748535317
4,5,601,0.7886668664960211,0.7629218927621725,0.8079711648912297
4,10,601,0.7651763653825633,0.7374173908383576,0.7847119637169049
4,15,601,0.7410082685112133,0.7129467724321303,0.7621612899686024
10,1,744,0.7806988211063135,0.7659166268671567,0.7929834531604989
10,5,744,0.7338450373330446,0.7130289531674343,0.7490826804014337
10,10,744,0.7040940822867832,0.6805856863608738,0.7215875549257424
10,15,744,0.6887630057355786,0.6626989377468024,0.7064016626194004
12,1,743,0.8667858023211886,0.8567501695254102,0.8747389287558451
12,5,743,0.8386320226819691,0.8292012089985064,0.8459364086240083
12,10,743,0.8187593868504497,0.8085318505369588,0.8268844544249719
12,15,743,0.8042393017889626,0.7941140265431109,0.8122867870421829
